Country,year,remittances
Afghanistan,1970,..
Albania,1970,..
Algeria,1970,211
American Samoa,1970,..
Andorra,1970,..
Angola,1970,..
Antigua and Barbuda,1970,..
Argentina,1970,..
Armenia,1970,..
Aruba,1970,..
Australia,1970,180
Austria,1970,17
Azerbaijan,1970,..
"Bahamas, The",1970,..
Bahrain,1970,..
Bangladesh,1970,..
Barbados,1970,4
Belarus,1970,..
Belgium,1970,..
Belize,1970,..
Benin,1970,..
Bermuda,1970,..
Bhutan,1970,..
Bolivia,1970,..
Bosnia and Herzegovina,1970,..
Botswana,1970,..
Brazil,1970,..
Brunei,1970,..
Bulgaria,1970,..
Burkina Faso,1970,..
Burundi,1970,..
Cambodia,1970,..
Cameroon,1970,..
Canada,1970,..
Cape Verde,1970,..
Cayman Islands,1970,..
Central African Republic,1970,..
Chad,1970,..
Chile,1970,..
China,1970,..
Colombia,1970,26
Comoros,1970,..
"Congo, Dem. Rep.",1970,..
"Congo, Rep.",1970,..
Costa Rica,1970,..
Cote d'Ivoire,1970,..
Croatia,1970,..
Cuba,1970,..
Cyprus,1970,..
Czech Republic,1970,..
Denmark,1970,..
Djibouti,1970,..
Dominica,1970,..
Dominican Republic,1970,25
Ecuador,1970,..
"Egypt, Arab Rep.",1970,..
El Salvador,1970,..
Equatorial Guinea,1970,..
Eritrea,1970,..
Estonia,1970,..
Ethiopia,1970,..
Faeroe Islands,1970,..
Fiji,1970,..
Finland,1970,..
France,1970,..
French Polynesia,1970,..
Gabon,1970,..
"Gambia, The",1970,..
Georgia,1970,..
Germany,1970,..
Ghana,1970,..
Greece,1970,..
Greenland,1970,..
Grenada,1970,..
Guam,1970,..
Guatemala,1970,..
Guinea,1970,..
Guinea-Bissau,1970,..
Guyana,1970,..
Haiti,1970,..
Honduras,1970,..
"Hong Kong, China",1970,..
Hungary,1970,..
Iceland,1970,..
India,1970,121
Indonesia,1970,..
"Iran, Islamic Rep.",1970,..
Iraq,1970,..
Ireland,1970,..
Israel,1970,72
Italy,1970,1232
Jamaica,1970,..
Japan,1970,..
Jordan,1970,..
Kazakhstan,1970,..
Kenya,1970,7.26
Kiribati,1970,..
"Korea, Dem. Rep.",1970,..
"Korea, Rep.",1970,..
Kuwait,1970,..
Kyrgyz Republic,1970,..
Lao PDR,1970,..
Latvia,1970,..
Lebanon,1970,..
Lesotho,1970,..
Liberia,1970,..
Libya,1970,..
Liechtenstein,1970,..
Lithuania,1970,..
Luxembourg,1970,..
"Macao, China",1970,..
"Macedonia, FYR",1970,..
Madagascar,1970,..
Malawi,1970,..
Malaysia,1970,..
Maldives,1970,..
Mali,1970,..
Malta,1970,..
Marshall Islands,1970,..
Mauritania,1970,..
Mauritius,1970,..
Mayotte,1970,..
Mexico,1970,..
"Micronesia, Fed. Sts.",1970,..
Moldova,1970,..
Monaco,1970,..
Mongolia,1970,..
Morocco,1970,..
Mozambique,1970,..
Myanmar,1970,..
Namibia,1970,..
Nepal,1970,..
Netherlands,1970,133
Netherlands Antilles,1970,..
New Caledonia,1970,..
New Zealand,1970,..
Nicaragua,1970,..
Niger,1970,..
Nigeria,1970,..
Norway,1970,..
Oman,1970,..
Pakistan,1970,..
Palau,1970,..
Panama,1970,..
Papua New Guinea,1970,..
Paraguay,1970,..
Peru,1970,..
Philippines,1970,..
Poland,1970,..
Portugal,1970,..
Puerto Rico,1970,..
Qatar,1970,..
Romania,1970,..
Russian Federation,1970,..
Rwanda,1970,..
Samoa,1970,..
San Marino,1970,..
Sao Tome and Principe,1970,..
Saudi Arabia,1970,..
Senegal,1970,..
Serbia and Montenegro,1970,..
Seychelles,1970,..
Sierra Leone,1970,..
Singapore,1970,..
Slovak Republic,1970,..
Slovenia,1970,..
Solomon Islands,1970,..
Somalia,1970,..
South Africa,1970,15
Spain,1970,..
Sri Lanka,1970,..
St. Kitts and Nevis,1970,..
St. Lucia,1970,..
St. Vincent and the Grenadines,1970,..
Sudan,1970,..
Suriname,1970,..
Swaziland,1970,..
Sweden,1970,6
Switzerland,1970,..
Syrian Arab Republic,1970,..
Tajikistan,1970,..
Tanzania,1970,..
Thailand,1970,..
Timor-Leste,1970,..
Togo,1970,..
Tonga,1970,..
Trinidad and Tobago,1970,..
Tunisia,1970,..
Turkey,1970,..
Turkmenistan,1970,..
Uganda,1970,..
Ukraine,1970,..
United Arab Emirates,1970,..
United Kingdom,1970,..
United States,1970,..
Uruguay,1970,..
Uzbekistan,1970,..
Vanuatu,1970,..
"Venezuela, RB",1970,..
Vietnam,1970,..
Virgin Islands (U.S.),1970,..
West Bank and Gaza,1970,..
"Yemen, Rep.",1970,..
Zambia,1970,..
Zimbabwe,1970,..
Afghanistan,1971,..
Albania,1971,..
Algeria,1971,238
