STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,population_thousands,total_public_supply,total_withdraw,dom_percapita_publicsupply
AL,01,Autauga County,001,01001,54.571,5.09,55.55,66
AL,01,Baldwin County,003,01003,182.265,22.97,64.36,78
AL,01,Barbour County,005,01005,27.457,4.15,11.05,74
AL,01,Bibb County,007,01007,22.915,4.89,7.61,79
AL,01,Blount County,009,01009,57.322,54.61,57.08,67
AL,01,Bullock County,011,01011,10.914,2.3,3.19,110
AL,01,Butler County,013,01013,20.947,2.7,4.52,76
AL,01,Calhoun County,015,01015,118.572,23.3,29.31,84
AL,01,Chambers County,017,01017,34.215,4.31,5.4,82
AL,01,Cherokee County,019,01019,25.989,3.49,5.54,64
AL,01,Chilton County,021,01021,43.643,4.89,7.32,80
AL,01,Choctaw County,023,01023,13.859,1.36,42.89,67
AL,01,Clarke County,025,01025,25.833,3.15,24.31,55
AL,01,Clay County,027,01027,13.932,1.66,2.51,77
AL,01,Cleburne County,029,01029,14.972,0.56,1.79,91
AL,01,Coffee County,031,01031,49.948,7.6,14.66,87
AL,01,Colbert County,033,01033,54.428,8.79,1344.32,65
AL,01,Conecuh County,035,01035,13.228,1.69,2.4,64
AL,01,Coosa County,037,01037,11.539,0.3,0.93,87
AL,01,Covington County,039,01039,37.765,4.95,10.32,65
AL,01,Crenshaw County,041,01041,13.906,2.05,3.16,65
AL,01,Cullman County,043,01043,80.406,31.05,37.88,79
AL,01,Dale County,045,01045,50.251,6.85,10.25,75
AL,01,Dallas County,047,01047,43.82,5.9,49.12,87
AL,01,De Kalb County,049,01049,71.109,7.11,11.94,64
AL,01,Elmore County,051,01051,79.303,13.35,16.02,69
AL,01,Escambia County,053,01053,38.319,5.68,45.21,89
AL,01,Etowah County,055,01055,104.43,20.37,146.3,81
AL,01,Fayette County,057,01057,17.241,2.03,4.65,73
AL,01,Franklin County,059,01059,31.704,4.57,6.43,74
AL,01,Geneva County,061,01061,26.79,2,7.45,68
AL,01,Greene County,063,01063,9.045,1.1,366.36,129
AL,01,Hale County,065,01065,15.76,1.71,20.25,68
AL,01,Henry County,067,01067,17.302,1.81,6.49,81
AL,01,Houston County,069,01069,101.547,16.79,118.04,69
AL,01,Jackson County,071,01071,53.227,11.37,1067.46,66
AL,01,Jefferson County,073,01073,658.466,75.86,81.33,86
AL,01,Lamar County,075,01075,14.564,1.51,2.08,52
AL,01,Lauderdale County,077,01077,92.709,12.05,17.5,78
AL,01,Lawrence County,079,01079,34.339,7.69,72.81,113
AL,01,Lee County,081,01081,140.247,15.97,18.19,92
AL,01,Limestone County,083,01083,82.782,10.82,2744.24,63
AL,01,Lowndes County,085,01085,11.299,1.13,4.45,84
AL,01,Macon County,087,01087,21.452,4.08,7.14,69
AL,01,Madison County,089,01089,334.811,68.41,79.13,90
AL,01,Marengo County,091,01091,21.027,2.49,25.05,61
AL,01,Marion County,093,01093,30.776,5.53,6.98,77
AL,01,Marshall County,095,01095,93.019,26.64,30.45,76
AL,01,Mobile County,097,01097,412.992,86.01,1096.73,75
AL,01,Monroe County,099,01099,23.068,2.65,50.62,80
AL,01,Montgomery County,101,01101,229.363,33.39,37.63,66
AL,01,Morgan County,103,01103,119.49,33.38,123.64,75
AL,01,Perry County,105,01105,10.591,1.7,10.83,74
AL,01,Pickens County,107,01107,19.746,2.7,6.17,98
AL,01,Pike County,109,01109,32.899,5.03,7.8,87
AL,01,Randolph County,111,01111,22.913,1.52,2.86,67
AL,01,Russell County,113,01113,52.947,8.8,40.68,54
AL,01,St Clair County,115,01115,83.593,9.92,18.07,77
AL,01,Shelby County,117,01117,195.085,15.88,688.57,67
AL,01,Sumter County,119,01119,13.763,1.82,8.64,79
AL,01,Talladega County,121,01121,82.291,17.55,46,65
AL,01,Tallapoosa County,123,01123,41.616,10.38,12.08,74
AL,01,Tuscaloosa County,125,01125,194.656,29.91,39.23,69
AL,01,Walker County,127,01127,67.023,35.75,954.97,56
AL,01,Washington County,129,01129,17.581,2.07,89.63,79
AL,01,Wilcox County,131,01131,11.67,2.96,22.23,57
AL,01,Winston County,133,01133,24.484,0.97,2.17,77
AK,02,Aleutians East Borough,013,02013,3.141,1.02,3.68,68
AK,02,Aleutians West Census Area,016,02016,5.561,2.25,4.96,76
AK,02,Municipality of Anchorage,020,02020,291.826,38.37,46.24,122
AK,02,Bethel Census Area,050,02050,17.013,0.46,0.48,26
AK,02,Bristol Bay Borough,060,02060,0.997,0.01,0.19,133
AK,02,Denali Borough,068,02068,1.826,0.01,24.17,85
AK,02,Dillingham Census Area,070,02070,4.847,0.18,0.39,69
AK,02,Fairbanks North Star Borough,090,02090,97.581,7.45,53.62,126
AK,02,Haines Borough,100,02100,2.508,0.34,44.39,65
AK,02,Hoonah-Angoon Census Area,105,02105,2.15,0.47,141.09,77
AK,02,City & Borough of Juneau,110,02110,31.275,4.31,58.81,142
AK,02,Kenai Peninsula Borough,122,02122,55.4,3.49,28.01,157
AK,02,Ketchikan Gateway Borough,130,02130,13.477,4.46,29.92,75
AK,02,Kodiak Island Borough,150,02150,13.592,4.86,6.1,73
AK,02,Lake and Peninsula Borough,164,02164,1.631,0.08,0.48,66
AK,02,Matanuska-Susitna Borough,170,02170,88.995,1.57,33.75,115
AK,02,Nome Census Area,180,02180,9.492,0.66,0.74,63
AK,02,North Slope Borough,185,02185,9.43,0.46,221.16,37
AK,02,Northwest Arctic Borough,188,02188,7.523,0.57,9.83,71
AK,02,Petersburg Census Area,195,02195,3.815,0.78,62.33,70
AK,02,Prince of Wales-Hyder Census Area,198,02198,5.559,0.34,73.68,75
AK,02,City & Borough of Sitka,220,02220,8.881,1.22,55.25,76
AK,02,Skagway Municipality,230,02230,0.968,0.22,8.7,62
AK,02,Southeast Fairbanks Census Area,240,02240,7.029,0.12,0.95,86
AK,02,Valdez-Cordova Census Area,261,02261,9.636,3.6,42.7,67
AK,02,Wade Hampton Census Area,270,02270,7.459,0.48,0.51,54
AK,02,City & Borough of Wrangell,275,02275,2.369,0.52,48.05,75
AK,02,City & Borough of Yakutat,282,02282,0.662,0.54,92.58,77
AK,02,Yukon-Koyukuk Census Area,290,02290,5.588,0.21,1.77,40
AZ,04,Apache County,001,04001,71.518,5.33,48.96,87
AZ,04,Cochise County,003,04003,131.346,15.73,238.4,109
AZ,04,Coconino County,005,04005,134.421,21.7,52.18,132
AZ,04,Gila County,007,04007,53.597,6.2,34.69,118
AZ,04,Graham County,009,04009,37.22,4.57,176.21,120
AZ,04,Greenlee County,011,04011,8.437,1.78,25.89,223
AZ,04,La Paz County,012,04012,20.489,3.46,668.84,204
AZ,04,Maricopa County,013,04013,3817.354,805.74,1953.58,162
AZ,04,Mohave County,015,04015,200.209,42.98,121.16,185
AZ,04,Navajo County,017,04017,107.449,13.42,61.66,122
AZ,04,Pima County,019,04019,980.263,168.08,305.43,123
AZ,04,Pinal County,021,04021,375.826,62.31,1130.08,118
AZ,04,Santa Cruz County,023,04023,47.42,5.95,17.44,105
AZ,04,Yavapai County,025,04025,211.033,22.87,92.29,105
AZ,04,Yuma County,027,04027,195.751,33.3,1161.35,131
AR,05,Arkansas County,001,05001,19.019,4.83,939.73,100
AR,05,Ashley County,003,05003,21.853,1.75,205.15,100
AR,05,Baxter County,005,05005,41.513,3.77,4.84,100
AR,05,Benton County,007,05007,221.339,66.01,402.47,100
AR,05,Boone County,009,05009,36.903,1.16,2.8,100
AR,05,Bradley County,011,05011,11.508,1.32,2.07,100
AR,05,Calhoun County,013,05013,5.368,0.56,0.65,99
AR,05,Carroll County,015,05015,27.446,8.58,10.71,100
AR,05,Chicot County,017,05017,11.8,1.81,273.05,100
AR,05,Clark County,019,05019,22.995,2.14,11.62,100
AR,05,Clay County,021,05021,16.083,1.68,407.5,100
AR,05,Cleburne County,023,05023,25.97,9.28,25.95,100
AR,05,Cleveland County,025,05025,8.689,1,1.43,100
AR,05,Columbia County,027,05027,24.552,2.88,11.25,100
AR,05,Conway County,029,05029,21.273,13.09,29.16,100
AR,05,Craighead County,031,05031,96.443,15.27,422.73,100
AR,05,Crawford County,033,05033,61.948,32.47,34.73,109
AR,05,Crittenden County,035,05035,50.902,6.69,219.74,100
AR,05,Cross County,037,05037,17.87,2.63,561.71,100
AR,05,Dallas County,039,05039,8.116,0.76,0.8,100
AR,05,Desha County,041,05041,13.008,1.07,483.99,100
AR,05,Drew County,043,05043,18.509,3.14,37.25,100
AR,05,Faulkner County,045,05045,113.237,5.94,8.78,100
AR,05,Franklin County,047,05047,18.125,3.03,11.14,100
AR,05,Fulton County,049,05049,12.245,1.55,84.42,100
AR,05,Garland County,051,05051,96.024,15.72,17.58,100
AR,05,Grant County,053,05053,17.853,1.47,5.32,100
AR,05,Greene County,055,05055,42.09,4.36,366.98,100
AR,05,Hempstead County,057,05057,22.609,2.81,4.66,100
AR,05,Hot Spring County,059,05059,32.923,5.15,125.01,100
AR,05,Howard County,061,05061,13.789,2.5,4.43,100
AR,05,Independence County,063,05063,36.647,5.64,156.7,100
AR,05,Izard County,065,05065,13.696,0.93,4.64,100
AR,05,Jackson County,067,05067,17.997,1.59,441.98,100
AR,05,Jefferson County,069,05069,77.435,13.14,350.63,100
AR,05,Johnson County,071,05071,25.54,4.8,5.57,100
AR,05,Lafayette County,073,05073,7.645,0.93,25.12,99
AR,05,Lawrence County,075,05075,17.415,1.15,198.54,100
AR,05,Lee County,077,05077,10.424,1.73,307,100
AR,05,Lincoln County,079,05079,14.134,1.48,224.19,100
AR,05,Little River County,081,05081,13.171,3.29,105.18,100
AR,05,Logan County,083,05083,22.353,2.79,4.18,100
AR,05,Lonoke County,085,05085,68.356,7.27,489.49,100
AR,05,Madison County,087,05087,15.717,0,1.77,100
AR,05,Marion County,089,05089,16.653,0.93,2.03,107
AR,05,Miller County,091,05091,43.462,0.1,15.52,117
AR,05,Mississippi County,093,05093,46.48,7.19,381.18,100
AR,05,Monroe County,095,05095,8.149,1.33,297.51,63
AR,05,Montgomery County,097,05097,9.487,0.57,1,100
AR,05,Nevada County,099,05099,8.997,0.78,1.35,100
AR,05,Newton County,101,05101,8.33,0.97,1.36,100
AR,05,Ouachita County,103,05103,26.12,3.75,43.44,73
AR,05,Perry County,105,05105,10.445,0.92,2.02,100
AR,05,Phillips County,107,05107,21.757,3.17,266.66,100
AR,05,Pike County,109,05109,11.291,0.74,1.84,100
AR,05,Poinsett County,111,05111,24.583,2.86,937.26,100
AR,05,Polk County,113,05113,20.662,1.67,3.95,100
AR,05,Pope County,115,05115,61.754,11.17,987.15,100
AR,05,Prairie County,117,05117,8.715,0.77,334.17,100
AR,05,Pulaski County,119,05119,382.748,50.47,82.11,100
AR,05,Randolph County,121,05121,17.969,1.14,156.18,100
AR,05,St Francis County,123,05123,28.258,4.99,363.06,100
AR,05,Saline County,125,05125,107.118,31.4,31.88,100
AR,05,Scott County,127,05127,11.233,0.81,1.91,99
AR,05,Searcy County,129,05129,8.195,1.31,1.81,100
AR,05,Sebastian County,131,05131,125.744,2.96,3.74,190
AR,05,Sevier County,133,05133,17.058,3.36,4.58,100
AR,05,Sharp County,135,05135,17.264,2.51,3.5,100
AR,05,Stone County,137,05137,12.394,2.01,2.79,100
AR,05,Union County,139,05139,41.639,5.34,20.42,100
AR,05,Van Buren County,141,05141,17.295,2.01,4.35,100
AR,05,Washington County,143,05143,203.065,0.2,3.07,133
AR,05,White County,145,05145,77.076,9.13,88.03,100
AR,05,Woodruff County,147,05147,7.26,1.88,246.32,101
AR,05,Yell County,149,05149,22.185,3.07,4.13,100
CA,06,Alameda County,001,06001,1510.271,215.5,254.89,86
CA,06,Alpine County,003,06003,1.175,0.19,4.47,107
CA,06,Amador County,005,06005,38.091,7.59,32.37,103
CA,06,Butte County,007,06007,220,42.84,715.33,155
CA,06,Calaveras County,009,06009,45.578,9.65,23.39,192
CA,06,Colusa County,011,06011,21.419,4.13,835.02,126
CA,06,Contra Costa County,013,06013,1049.025,178.18,302.73,90
CA,06,Del Norte County,015,06015,28.61,2.89,13.67,64
CA,06,El Dorado County,017,06017,181.058,43.62,55.73,127
CA,06,Fresno County,019,06019,930.45,257.94,2813.24,159
CA,06,Glenn County,021,06021,28.122,4.42,606.63,145
CA,06,Humboldt County,023,06023,134.623,16.22,113.98,74
CA,06,Imperial County,025,06025,174.528,32.22,1169.24,115
CA,06,Inyo County,027,06027,18.546,5.71,111.57,129
CA,06,Kern County,029,06029,839.631,226,2159.89,171
CA,06,Kings County,031,06031,152.982,28.92,1298.85,140
CA,06,Lake County,033,06033,64.665,8.07,50.85,165
CA,06,Lassen County,035,06035,34.895,7.26,202.61,211
CA,06,Los Angeles County,037,06037,9818.605,1372.58,3064.01,100
CA,06,Madera County,039,06039,150.865,22.03,748.71,137
CA,06,Marin County,041,06041,252.409,32.02,42.85,88
CA,06,Mariposa County,043,06043,18.251,1.56,5.32,98
CA,06,Mendocino County,045,06045,87.841,9.84,81.53,90
CA,06,Merced County,047,06047,255.793,50.43,1494.67,180
CA,06,Modoc County,049,06049,9.686,1.29,261.53,164
CA,06,Mono County,051,06051,14.202,2.98,229.71,137
CA,06,Monterey County,053,06053,415.057,48.37,545.54,77
CA,06,Napa County,055,06055,136.484,18.54,96.86,93
CA,06,Nevada County,057,06057,98.764,16.15,48.69,170
CA,06,Orange County,059,06059,3010.232,503.53,765.39,112
CA,06,Placer County,061,06061,348.432,66.02,191.22,151
CA,06,Plumas County,063,06063,20.007,3.79,118.73,117
CA,06,Riverside County,065,06065,2189.641,519.09,1099.26,159
CA,06,Sacramento County,067,06067,1418.788,311.64,681.06,141
CA,06,San Benito County,069,06069,55.269,6.91,85.44,95
CA,06,San Bernardino County,071,06071,2035.21,473.83,659.42,130
CA,06,San Diego County,073,06073,3095.313,481.49,2818.19,98
CA,06,San Francisco County,075,06075,805.235,82.28,93.49,52
CA,06,San Joaquin County,077,06077,685.306,114.81,1753.37,117
CA,06,San Luis Obispo County,079,06079,269.637,34.82,2579.14,103
CA,06,San Mateo County,081,06081,718.451,83.36,93.08,81
CA,06,Santa Barbara County,083,06083,423.895,71.44,264.25,103
CA,06,Santa Clara County,085,06085,1781.642,243.33,298.22,83
CA,06,Santa Cruz County,087,06087,262.382,24.57,66.38,65
CA,06,Shasta County,089,06089,177.223,48.87,239.01,177
CA,06,Sierra County,091,06091,3.24,0.71,39.03,163
CA,06,Siskiyou County,093,06093,44.9,6.84,411.07,124
CA,06,Solano County,095,06095,413.344,63.3,452.77,96
CA,06,Sonoma County,097,06097,483.878,48.66,259.54,77
CA,06,Stanislaus County,099,06099,514.453,103.64,1642.69,153
CA,06,Sutter County,101,06101,94.737,18.09,721.95,121
CA,06,Tehama County,103,06103,63.463,9.71,825.59,118
CA,06,Trinity County,105,06105,13.786,1.61,22.53,110
CA,06,Tulare County,107,06107,442.179,79.16,2600.28,134
CA,06,Tuolumne County,109,06109,55.365,16.69,35.75,120
CA,06,Ventura County,111,06111,823.318,163.3,719.48,116
CA,06,Yolo County,113,06113,200.849,39.56,780.23,134
CA,06,Yuba County,115,06115,72.155,10.53,261.74,117
CO,08,Adams County,001,08001,441.603,77.15,230.92,83
CO,08,Alamosa County,003,08003,15.445,1.72,152.41,135
CO,08,Arapahoe County,005,08005,572.003,168.55,187,211
CO,08,Archuleta County,007,08007,12.084,2,59.27,249
CO,08,Baca County,009,08009,3.788,0.62,98.51,83
CO,08,Bent County,011,08011,6.499,0.86,152.43,84
CO,08,Boulder County,013,08013,294.567,81.37,231.61,116
CO,08,Broomfield County,014,08014,55.889,5.01,6.4,85
CO,08,Chaffee County,015,08015,17.809,3.32,101.85,101
CO,08,Cheyenne County,017,08017,1.836,0.28,37.88,213
CO,08,Clear Creek County,019,08019,9.088,1.34,1.82,104
CO,08,Conejos County,021,08021,8.256,2.25,382.5,281
CO,08,Costilla County,023,08023,3.524,0.44,139.91,141
CO,08,Crowley County,025,08025,5.823,0.88,13.73,78
CO,08,Custer County,027,08027,4.255,0.18,27.24,95
CO,08,Delta County,029,08029,30.952,4.47,359.51,241
CO,08,Denver County,031,08031,600.158,141.83,150.54,97
CO,08,Dolores County,033,08033,2.064,0.25,5.59,180
CO,08,Douglas County,035,08035,285.465,33.82,51.56,83
CO,08,Eagle County,037,08037,52.197,10.7,137.89,138
CO,08,Elbert County,039,08039,23.086,0.67,13.81,102
CO,08,El Paso County,041,08041,622.263,78.54,116.11,111
CO,08,Fremont County,043,08043,46.824,8.85,146.21,90
CO,08,Garfield County,045,08045,56.389,14.2,261.47,131
CO,08,Gilpin County,047,08047,5.441,0.53,3.36,90
CO,08,Grand County,049,08049,14.843,2.25,186.53,116
CO,08,Gunnison County,051,08051,15.324,2.54,562.74,75
CO,08,Hinsdale County,053,08053,0.843,0.61,30.41,343
CO,08,Huerfano County,055,08055,6.711,2.62,38.26,128
CO,08,Jackson County,057,08057,1.394,0.19,347.86,196
CO,08,Jefferson County,059,08059,534.543,15.42,78.3,98
CO,08,Kiowa County,061,08061,1.398,0.25,5.56,198
CO,08,Kit Carson County,063,08063,8.27,1.39,130.5,218
CO,08,Lake County,065,08065,7.31,1.49,14.66,169
CO,08,La Plata County,067,08067,51.334,7.73,336.64,108
CO,08,Larimer County,069,08069,299.63,25.56,412.85,33
CO,08,Las Animas County,071,08071,15.507,3.17,73.73,206
CO,08,Lincoln County,073,08073,5.467,0.23,4.49,87
CO,08,Logan County,075,08075,22.709,2.98,164.4,96
CO,08,Mesa County,077,08077,146.723,10.66,754.73,69
CO,08,Mineral County,079,08079,0.712,0.17,18.48,203
CO,08,Moffat County,081,08081,13.795,2.09,170.12,118
CO,08,Montezuma County,083,08083,25.535,4.67,255.08,99
CO,08,Montrose County,085,08085,41.276,9.55,702.86,182
CO,08,Morgan County,087,08087,28.159,3.79,186.03,144
CO,08,Otero County,089,08089,18.831,4.27,436.79,78
CO,08,Ouray County,091,08091,4.436,3.03,110.99,236
CO,08,Park County,093,08093,16.206,0.34,24.4,132
CO,08,Phillips County,095,08095,4.442,0.86,58.93,197
CO,08,Pitkin County,097,08097,17.148,6.09,123.36,184
CO,08,Prowers County,099,08099,12.551,2.62,152.26,130
CO,08,Pueblo County,101,08101,159.063,43.28,288.87,65
CO,08,Rio Blanco County,103,08103,6.666,1.9,267.16,245
CO,08,Rio Grande County,105,08105,11.982,1.07,579.2,122
CO,08,Routt County,107,08107,23.509,3.33,204,101
CO,08,Saguache County,109,08109,6.108,0.91,270.92,158
CO,08,San Juan County,111,08111,0.699,0.2,1.56,110
CO,08,San Miguel County,113,08113,7.359,0.78,37.94,108
CO,08,Sedgwick County,115,08115,2.379,0.53,61.42,207
CO,08,Summit County,117,08117,27.994,7.32,68.7,215
