Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.414375583,,,,3.213857542,3.292313477,4.052655398,10.24009794,4.915728954,,
Andorra,AND,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.164747598,13.56072455,19.8012256,12.8138865,9.70343224,10.92196833,21.79661846,16.9856775,20.47674801,26.69742315,26.40161869,16.33052379,,,,,,,,,
Afghanistan,AFG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179503228,0.339874041,0.761716063,1.744553865,0.697374879,0.724100711,0.699557264,0.95997465,0.991776725,4.222699697,6.167414935,1.314305132,3.469615642,0.764653339,0.893509249,0.530148791,0.443274093,0.513330673,,
Arab World,ARB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.273837428,1.428713017,3.228722959,0.90402881,1.133374588,,1.801114747,2.875764164,1.760568232,1.515014622,1.512613549,2.005618696,1.18156216,1.457410176,1.353945596,1.052757054,1.473341921,,,,,,,
United Arab Emirates,ARE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026478638,0.151992166,0.031645521,,,,,,1.120983295,0.708440058,1.965071945,,,,1.871488902,,1.070383568,3.202785439,,,,,,,
Argentina,ARG,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.953191017,6.479174551,4.757370505,4.02028498,5.59195718,5.074831596,5.909451209,8.104063118,9.351856306,9.267344476,7.669045367,8.897494763,7.719023678,6.826630039,7.05418222,6.594450291,9.017369186,8.686933066,7.504834144,7.480739359,7.695440737,9.843586977,,
Armenia,ARM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.501607591,,2.283042317,4.726627319,10.39872659,1.622448171,1.40902708,1.246117046,0.619179418,1.080395244,0.87587352,1.405882026,2.181898774,1.848659372,2.598362316,2.649411668,2.883150232,,
American Samoa,ASM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
