X,Y,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2,XCOORD,YCOORD
-73.902757764919059,40.903737791017313,NYPL57,NYPL,Other,212-340-0903,,,718-549-1212,,Riverdale Branch,5540,Mosholu Avenue,Bronx,10471.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverdale Branch",5540 Mosholu Avenue,"Bronx, NY 10471",-73.902758,40.903738
-73.917569993965685,40.849505962670158,NYPL58,NYPL,Other,212-340-0903,,,718-731-2074,,Sedgwick Branch,1701,Martin Luther King Jr. Blvd.,Bronx,10453.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Sedgwick Branch",1701 Martin Luther King Jr. Blvd.,"Bronx, NY 10453",-73.917570,40.849506
-73.862898145490675,40.818724112827788,NYPL59,NYPL,Other,212-340-0903,,,718-589-0880,,Soundview Branch,660,Soundview Avenue,Bronx,10473.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Soundview Branch",660 Soundview Avenue,"Bronx, NY 10473",-73.862898,40.818724
-73.914631198916823,40.886241592223193,NYPL60,NYPL,Other,212-340-0903,,,718-796-1202,,Spuyten Duyvil Branch,650,West 235th Street,Bronx,10463.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Spuyten Duyvil Branch",650 West 235th Street,"Bronx, NY 10463",-73.914631,40.886242
-73.819111866642984,40.822888523596227,NYPL61,NYPL,Other,212-340-0903,,,718-792-2612,,Throg's Neck Branch,3025,Cross Bronx Exp. Ext.,Bronx,10465.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Throg's Neck Branch",3025 Cross Bronx Exp. Ext.,"Bronx, NY 10465",-73.819112,40.822889
-73.898349441284012,40.846043275958579,NYPL62,NYPL,Other,212-340-0903,,,718-299-5177,,Tremont Branch,1866,Washington Avenue,Bronx,10457.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tremont Branch",1866 Washington Avenue,"Bronx, NY 10457",-73.898349,40.846043
-73.893928353754646,40.882755135567855,NYPL63,NYPL,Other,212-340-0903,,,718-543-5150,,Van Cortlandt Branch,3874,Sedgwick Avenue,Bronx,10463.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Cortlandt Branch",3874 Sedgwick Avenue,"Bronx, NY 10463",-73.893928,40.882755
-73.864171993638763,40.854862519810474,NYPL64,NYPL,Other,212-340-0903,,,718-829-5864,,Van Nest Branch,2147,Barnes Avenue,Bronx,10462.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Nest Branch",2147 Barnes Avenue,"Bronx, NY 10462",-73.864172,40.854863
-73.859540714011644,40.891117159241979,NYPL65,NYPL,Other,212-340-0903,,,718-652-4663,,Wakefield Branch,4100,Lowerre Place,Bronx,10466.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Wakefield Branch",4100 Lowerre Place,"Bronx, NY 10466",-73.859541,40.891117
-73.883077458260644,40.844703112729249,NYPL66,NYPL,Other,212-340-0903,,,718-367-5376,,West Farms Branch,2085,Honeywell Avenue,Bronx,10460.00000000000,Library,0.00000000000,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West Farms Branch",2085 Honeywell Avenue,"Bronx, NY 10460",-73.883077,40.844703
