dbn,school_name,boro,building_code,shared_space,phone_number,fax_number,school_email,grade_span_min,grade_span_max,expgrade_span_min,expgrade_span_max,year_at_scale,bus,subway,primary_address_line_1,city,state_code,zip,website,total_students,campus_name,school_type,overview_paragraph,program_highlights,language_classes,advancedplacement_courses,diplomaendorsements,extracurricular_activities,psal_sports_boys,psal_sports_girls,psal_sports_coed,school_sports,partner_cbo,partner_hospital,partner_highered,partner_cultural,partner_nonprofit,partner_corporate,partner_financial,partner_other,addtl_info1,addtl_info2,start_time,end_time,se_services,ell_programs,school_accessibility_description,number_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10
01M292,Henry Street School for International Studies,Manhattan,M056,Yes,212-406-9411,212-406-9417,cloughl@schools.nyc.gov,6,12,,,,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9","F to East Broadway ; B, D to Grand St ; J, M, Z to Delancey St-Essex St",220 HENRY STREET, MANHATTAN,NY,10002,http://schools.nyc.gov/SchoolPortals/01/M292,255,,,"Henry Street School for International Studies is a unique small school founded by the Asia Society. While in pursuit of knowledge about other world regions, including their histories, economies and world languages, students acquire the knowledge and skills needed to prepare for college and/or careers. Teachers and other adults who make up the learning community forge supportive relationships with students and parents while providing challenging and engaging learning experiences. Our school partners with various community, arts, and business organizations to help students achieve success. Our theme of international studies extends beyond the classroom, where students participate in ongoing Û÷Advisory Day OutÛª excursions where the multiculturalism of NYC becomes the classroom.",Global/International Studies in core subjects; Literacy block schedule; Personalized instruction in small classes; Student Advisories; International travel opportunities; After-school program focused on youth leadership,"Chinese (Mandarin), Spanish","Chinese Language and Culture, Psychology, United States History",,"Math through Card Play; Art, Poetry/Spoken Word, Drama, Book, STEP, Big Brothers/Big Sisters, Student Government/Leadership, Future Project",Basketball,,,"Boxing, Track, CHAMPS, Tennis, Flag Football, Softball",The Henry Street Settlement; Asia Society; America Reads; Future Project; 21st Century Grant,Gouverneur Hospital (Turning Points),New York University,Asia Society,Heart of America Foundation,,,United Nations,,,8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to continuing 8th graders,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents,Then to New York City residents,,,,,
01M448,University Neighborhood High School,Manhattan,M446,No,212-962-4341,212-267-5611,ransonunhs@gmail.com,9,12,,,,"M14A, M14D, M15, M21, M22, M9","J, M, Z to Delancey St-Essex St ; F to East Broadway",200 MONROE STREET, MANHATTAN,NY,10002,www.universityneighborhoodhs.org,304,,,University Neighborhood High School (UNHS) is the first collaborative partnership school between New York University and the New York City Department of Education. We are proud to provide all kinds of learners with a challenging curriculum in a supportive environment so that they can successfully participate in higher education opportunities and the workforce.,"UNHS students can earn up to 24 tuition-free college credits by taking CUNY College Now classes at the Baruch College Campus or at UNHS during the regular school day in addition to taking courses at LaGuardia College, BMCC or St. JohnÛªs University; courses include Business, Speech Communication, Psychology, and Personal Finance. Variety of innovative technology courses such as Microsoft Office Suite, Computer Programming, Computer Coding, Gaming, Web Design, Adobe Suite, and Film Production. Two Sigma, one of our technology partnerships, is currently open to ninth and tenth graders to develop in-depth computer technology skills. Other academic opportunities include College Summit, Kaplan SAT prep review classes, Saturday Regents Prep, Saturday ESL classes at St. JohnÛªs University, an Advanced Regents Diploma honors program, and the Deloitte Academy mentoring program.","Chinese (Mandarin), Spanish","Calculus, Chinese Language and Culture, English, Spanish, Studio Art, United States Government and Politics, World History",Science,"Basketball, Badminton, Handball, Glee, Dance (in our state-of-the-art dance studio), Weight Training (in our newly-renovated gym), Ping Pong, Tennis, Step Team, After-School Tutoring, Peer Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Saturday Regents Prep, ESL Saturday Academy, Regents Prep, National Honor Society, Council for Unity, Young WomenÛªs Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio (at a live radio station), Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals and School Beautification, Video and Cooking. At UNHS, we will also help any student develop any club that has 10 or more students interested in joining.","Basketball, Bowling, Handball","Bowling, Softball",,,"Grand Street Settlement, Henry Street Settlement, Educational Alliance, Gouveneur Hospital, The New Museum, Health and Hospital Corporation, College Summit, PENCIL,","Gouverneur Hospital, The Door, The Mount Sinai Adolescent Clinic","New York University, CUNY Baruch College, Parsons School of Design, St. John's University, LaGuardia Community College, BMCC,","Dance Film Association, Dance Makers Film Workshop, Theatre Development Fund, Hester Street Collaborative Public Arts Project, The New Museum, The Whitney Museum, The International Center for Photography, Cooper Union","W!SE, Big Brothers Big Sisters, Peer Health Exchange, New York Public Library, United Way NYC, Network for Teaching Entrepreneurship (NFTE),","Deloitte LLP Consulting and Financial Services, Kaplan, Two Sigma Technology and Consulting, PENCIL,",,Movement Research,iLearnNYC: Program for expanded online coursework and self-paced learning,Incoming students are expected to attend school orientation in June; Internships are encouraged and supported; Extra academic support is available daily for all students in all subjects.,8:15 AM,3:15 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,"ESL, Transitional Bilingual Education: Chinese",Not Functionally Accessible,3,Open to New York City residents,For M35B only: Open only to students whose home language is Chinese (Mandarin),,,,,,,,
01M450,East Side Community School,Manhattan,M060,Yes,212-460-8467,212-260-9657,tomm@eschs.org,6,12,,,,"M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M23, M3, M8, M9",6 to Astor Place ; L to 1st Ave,420 EAST 12 STREET, MANHATTAN,NY,10009,www.eschs.org,666,,Performance Assessment School,"We are a small secondary school that prepares all students for college and careers. We set high standards and work with all of our students to help them meet these standards. With no more than twenty-five students per class, teachers are able to provide personal attention in a respectful environment. Our staff makes sure that we know every student well. We assess our students by challenging them to use what they have learned in creative ways to complete interesting projects. Students, staff, families, and community members all see themselves as part of a team whose main goal is the success of every individual student.","Our advisory system ensures that we can effectively address our studentsÛª and their familiesÛª needs; Through the College Bound Initiative, our full-time college counselor helps prepare students for the college application process; Advanced students take CUNY College Now at Hunter College; Electives include Visual Art, Rapping/Poetry & Beat Making, Choir, Digital Art and Photography, Skateboarding, Film Making, Chess, Dance, Bicycling, and Video Game Design","French, Spanish",English,,"After-School Tutoring, Art Portfolio Classes, Chess Team, I Challenge Myself Bicycling Program, Dance, Environmental Committee, Gay/Straight Alliance, Hip-Hop Beat Making & Rhyming, Model UN, School Newspaper, Peer Tutoring, the Brotherhood and GirlÛªs Group, PrincipalÛªs Book Club, Yoga, Rock Band Program, SAT Prep Classes, Scholars Program, School Newspaper, Skateboarding PE Classes, Student Council, Cheerleading, Gardening Internships, Choir, Travel, Volleyball, Morgan Stanley Internship Program, Saturday Photography Program, Rock Climbing at Brooklyn Boulders, Golf, Video Game Design, Surfing and Snowboarding through Stoked","Baseball, Basketball, Soccer","Basketball, Soccer, Softball, Volleyball",,"Basketball, Bicycling, Fitness, Indoor Soccer, Skateboarding, Softball, Volleyball, Rock Climbing, Snowboarding, Surfing","University Settlement, Educational Alliance, CASALEAP, Project Stay.",,"Columbia Teachers College, New York University, The New School, John Jay College, Hunter College, Borough of Manhattan Community College (BMCC) Upward Bound, Bard College, Gettysburg College, Fashion Institute of Technology (FIT) Summer Program, At Home in College CUNY Program.","University Settlement, The Possibility Project, Bridging Education and Art Together (BEAT), International Center for Photography, ArtsConnection, Arts in Action Program, Internship Program, Loisaida Art Gallery located within the school and online, Loisaidaartgallery.org, Five Boroughs Foundation of Photography, the Nuyorican PoetÛªs CafÌ©.","College Bound Initiative, Center for Collaborative Education, Stoked, PENCIL, Fund for Public Schools, Ramapo, Facing History and Ourselves, National Lab Day, Chess-in- the-Schools, Sponsors for Educational Opportunity (SEO), Lower East Side Ecology Center, Coalition of Essential Schools, Upward Bound, CARA (College Access: Research & Action).","Prudential Securities, Moore Capital, Morgan Stanley, Barclay Intercontinental Hotels, Supreme, IBM, Guardian Insurance, Guggenheim Partners.",,Brooklyn Boulders (Rock Climbing),,"Students present and defend their work to committees twice a year through our portfolio roundtable presentations; Students complete Performance-based Assessment Tasks (PBATs) such as a college-level history research paper and a student-designed science experiment as a replacement for the math, science and history Regents Exams. Students do take the ELA Regents Exam. The state recognizes these PBATs as a replacement for the Regents Exams.; Internship Opportunities",8:30 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to continuing 8th graders,Then to New York City residents,,,,,,,,
01M509,Marta Valle High School,Manhattan,M025,Yes,212-473-8152,212-475-7588,jbailey2@schools.nyc.gov,9,12,,,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M8, M9","B, D to Grand St ; F, J, M, Z to Delancey St-Essex St",145 STANTON STREET, MANHATTAN,NY,10002,www.martavalle.org,363,,,"Marta Valle High School (MVHS) offers a strong program of academic and character development in the tradition of our namesake Marta Valle, a social worker, youth advocate, and community organizer. Our Core Values ÛÒ Respect, Leadership, Integrity, Diligence, and Service ÛÒ are woven throughout everything we do. Our academics are supplemented by electives in the arts. Our students can earn college credit at the City University of New York (CUNY). MVHS is a place where Û÷Educating Hearts and Minds for the 21st CenturyÛª is a reality.","Advanced Regents Diploma; CUNY College Now; Mastery-based Grading System; Advisory program; College Placement Office and College Advisor; Statistics, Culinary Arts, Video and Music Production, Piano, Visual Art, Drama, Dance, Advisory, Fitness and Weight Training Studio, Technology Integration through Blended Online Instructional Model; Media, Living Environment, and Chemistry Science Labs","French, Spanish",,,"Model Peer Leadership Program, Û÷The VineÛª Student Newsletter, After-school Program, Student Ambassadors, Animation, College and Career Fair, Family Night, Art, Audio Recording, Camping, Cheerleading, Chorus, Dance, Film, Gallatin Great Works Project (NYU), Kaplan SAT Prep, Monthly Family Resource Fairs, MOUSE Squad, National Honor Society, Painting, Peer Mediation and Conflict Resolution, Princeton Center for Leadership, Recycling, Fashion Show, Songwriting, Step, Student Advisory Council, Sarah Lawrence College Student Interns, Lunchtime Cafe Clubs, Theater, Voice, Young Entrepreneurs",Basketball,Badminton,Table Tennis,"Volleyball, Zumba","NYCDOE Innovation Zone Lab Site, Grand Street Settlement, Learning Through an Expanded Arts Program (LeAP), NYU Gallatin Writing Project, Lower East Side Girls' Club, Lower East Side Family Alliance, Relationship Abuse Prevention Program (RAPP).",Gouvenuer's Hospital,"New York University (NYU), Sarah Lawrence College, Williams College, Borough of Manhattan Community College (BMCC), Empire State College, Minister of Education of Quebec, International Remote Networked Schools Project","Young Audiences, The National Arts Club, Educational Network of Artists and Creative Theatre (ENACT), Creative Cookie","College for Every Student (CFES), Morningside Center for Teaching Social Responsibility, Australian United States Services in Education (AUSSIE), Careers through Culinary Arts Program (C-CAP), Childsight",EstÌ©e Lauder,Bank of America,"CASALEAP, Beacon",iLearnNYC: Program for expanded online coursework and self-paced learning,Students Dress for Success; Summer Bridge to Success Program for incoming students in July offers HS credits; Saturday Success Academy Regents Prep; On-site Placement and Referral Office for Summer Youth Employment Program; Parent Resource Room; College Trips & Tours and Free Application for Federal Student Aid (FAFSA) Application Workshops,8:00 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to District 1 students or residents,Then to Manhattan students or residents,Then to New York City residents,,,,,,,
01M539,"New Explorations into Science, Technology and Math High School",Manhattan,M022,No,212-677-5190,212-260-8124,Sglasgall@schools.nyc.gov,0,12,,,,"B39, M14A, M14D, M21, M22, M8, M9","F, J, M, Z to Delancey St-Essex St",111 COLUMBIA STREET, MANHATTAN,NY,10002,www.nestmk12.net,1735,,,"New Explorations into Science, Technology and Math High School (NEST+m) is a K-12 school that is committed to providing an exemplary accelerated education for students of diverse backgrounds who have the ability and promise to meet the demands of an academically challenging curriculum. The Upper School (grades 9-12) engages students to think abstractly and critically, and encourages them to formulate questions that guide their learning experience via discussions and research. Multiple opportunities exist for students to have internships at local universities in the sciences and the arts.","First Level Science Sequence: Ninth grade Regents Physics with a Recitation/Applications course; Tenth grade Regents Chemistry and one term of Computer Science with the option of an Student Research class; Eleventh grade Living Environment; Twelfth grade options include science electives and Advanced Placement (AP) courses; Second level science sequence is for accelerated students who have demonstrated aptitude for the sciences and mathematics; can begin AP courses in ninth, tenth, and eleventh grades.","Chinese (Mandarin), French, Italian, Latin, Spanish","Calculus, Chemistry, Chinese Language and Culture, Computer Science A, Economics, English, European History, Human Geography, Latin, Physics, Spanish, United States History, World History","Math, Science","After-School Jazz Band, Annual Coffee House Concert, Annual Gallery Walk Art Exhibitions, Borough Advisory Student Council, Community Service Learning, Competitive Ballroom Dancing, Creative Writing, Debate Committee, Debate Team, Educational Field Trips, Green Club, Gay-Straight Alliance (GSA), Handball, Heart to Heart Charity, Kangaroo International Competition, Mandarin, Math Team, Model UN, National and Local Chess Championships, National Honor Society, Annual Talent Show, New York Math League Competition, Peer Leaders, Red Cross, Robotics, Scholastic Arts Competition, School Leadership Team (SLT), Social Justice, Student Government, Chorus, The Gauss Contest, The Purple Meet, Ultimate Frisbee, Winter and Spring School Plays, World Science Festival","Basketball, Fencing, Indoor Track, Soccer","Basketball, Fencing, Soccer, Softball, Volleyball",,"Badminton, Baseball, Cross-Country, Dance, Outdoor Track, Soccer, Softball, Table Tennis, Volleyball","7th Precinct Community Affairs, NYCWastele$$, Penny Harvest, Blood Drive, CASALEAP, University Settlement House, Henry Street Settlement, Toys for Tots",,"Hunter College, New York University, Cornell University, St. John's University, Pace University, Baruch College","VH1, Dancing Classrooms, Center for Arts Education, New Museum, School of Visual Arts, The Jazz Standard, New York State School Music Associations, American Choral Directors Association; Visiting Artists: Jeff Lederer, Wynton Marsalis, Monica Buffington, Ralph Alessi",After 3,"Time Warner Cable, Google, IBM, MET Project, Sony, Vital NY",,,iLearnNYC: Program for expanded online coursework and self-paced learning,"Dress Code Required: Business Casual - shirt/blouse, khaki, corduroy or dark denim (navy, black, brown, dark gray) pants, dress slacks/skirt/dress. On Assembly Days, students wear job interview clothing (Boys - shirt and tie, optional blazer); Community Service Requirement - All Upper School students are required to complete 60 hours of Community Service; Ninth grade math and science are single gender classes.",8:15 AM,4:00 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to continuing 8th graders,Then to New York City residents,,,,,,,,
01M696,Bard High School Early College,Manhattan,M097,No,212-995-8479,212-777-4702,apply@bhsec.bard.edu,9,12,,,,"M14A, M14D, M21, M22, M8, M9",,525 EAST HOUSTON STREET, MANHATTAN,NY,10002,www.bard.edu/bhsec,545,,,"Bard High School Early College Manhattan (BHSEC Manhattan) was founded on the belief that many students are ready to do serious college work at age sixteen. Bard College partnered with the NYC Department of Education to create an innovative program that enables high school students to move, in four years, from ninth grade through the first two years of college, earning a high school diploma, up to sixty college credits and an Associate of Arts (AA) degree upon graduation.","In the first two years at BHSEC, students undertake a course of study designed to provide a grounding in mathematics, science, history, English, and a foreign language. They participate in a variety of arts classes and complete state requirements in Physical Education and Health. Students' work in the college program builds on their high school studies and BHSEC offers a variety of college courses, as well as independent study opportunities. Students must complete sixty college credits to receive the Bard College AA degree. Our curriculum is designed to enable students to transfer to colleges and universities with up to two years of college credit","Chinese (Mandarin), French, German, Greek, Latin, Russian, Spanish",,,"Bard Bulletin online newspaper, Bardvark student newspaper, Art Magazine, Asian Culture, BHSEC Connect, BHSEC Literary Magazine, BHSEC Student Activist Network, BHSEC Student's Union, Book, Break Dance, CAFE performances, Chinese Language and Culture, Current Events, Debate, ECO, Film, Future Doctors and Scientists of America (FDSA), Karaoke, Literary Magazine, MAC (Making A Change), Mock Trial, Model UN, Muslim Students Association, Philosophy, Step Team, Swim, Table Tennis, Theater Production, Winter and Spring Concerts, Yearbook","Basketball, Soccer, Tennis","Basketball, Cross Country, Outdoor Track, Soccer, Tennis, Volleyball",,Co-ed Ultimate Frisbee,"Lower East Side Girls Club, Third Street Music School Settlement, Educational Alliance Edgies Teen Center, Grand Street Settlement, Henry Street Settlement, Lower East Side Ecology Center, YMCA Global Teens",,"Bard College, Bard College at Simon's Rock, Rockefeller University, New York University, Union College","American Symphony Orchestra, American Museum of Natural History",,,,New York Academy of Sciences,,,9:00 AM,3:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Open to New York City residents,,,,,,,,,
02M047,47 The American Sign Language and English Secondary School,Manhattan,M047,Yes,917-326-6668,917-326-6688,wshama@schools.nyc.gov,9,12,,,,"BM1, BM3, BxM1, BxM10, BxM11, BxM4, BxM7, BxM8, BxM9, M1, M101, M102, M14A, M14D, M15, M15-SBS, M23, M34A-SBS, M9, QM21, X10, X14, X17, X2, X28, X37, X38, X42, X5, X68","4, 5, Q to 14th St-Union Square ; 6, N, R to 23rd St ; L to 3rd Ave",223 EAST 23 STREET, MANHATTAN,NY,10010,www.47aslhs.org,169,,,"At ÛÏ47Û, the American Sign Language and English High School, we believe that all students have the right to learn in an inclusive, academically rigorous environment. Our elective courses challenge our studentsÛª creativity and our graduates emerge proficient in American Sign Language (ASL). Our school community nurtures responsible citizens of the world, addressing all aspects of young adult development by providing the necessary individual supports for our students to be college and career ready.","Small class sizes, Baruch CUNY College Now, Summer programs at various colleges, Partnerships with College Summit, College Board Advanced Placement (AP) classes, Intensive instruction in ASL, Collaboration with The School of Cooperative Technical Education for eleventh and twelfth grade students interested in more intensive technical or vocational courses, Community-based internships, Mindfulness practices",American Sign Language,English,,"Academic Bowl, ASL Performance, ASL Poetry, After-school Tutoring, Archery, Arts and Crafts, Chorus: Signing and Singing, Coding, Computer Science, Creative Writing, Chess, Chorus, Dance, Drama, Drumming, Food & Nutrition, Forensics, Knitting, Peer Mediation, Regents Prep, SAT Prep School Newspaper (in print and video), Student Council, Video Production and Editing, Visits to ASL Interpreted Broadway shows, Weight Room, Yearbook",,,,"Basketball, Cross Country, Track, Volleyball","WRI-Welfare Rights Initiative at Hunter College, New York City (NYC) Police Academy, Housing Works Thrift Store, City Opera Thrift Store,",,"New York University (NYU), The City University of New York (CUNY), Baruch College, LaGuardia Community College, Gallaudet University, Rochester Institute of Technology (RIT)","Third Street Music School Settlement, Lineage Project",,PENCIL,,,iLearnNYC: Program for expanded online coursework and self-paced learning,"Our student body is composed of deaf, hard-of-hearing and hearing students; Our students graduate with bilingual language proficiency (American Sign Language and English); ASL classes offered to parents and the community; Internship Opportunities",8:00 AM,2:50 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to ÛÏ47Û American Sign Language & English Lower School students,Then to New York City residents who know or are interested in learning American Sign Language,,,,,,,,
02M135,The Urban Assembly School for Emergency Management,Manhattan,M520,Yes,212-225-0998,212-225-0996,info@uasem.org,9,12,,,,,,411 PEARL STREET, MANHATTAN,NY,10038,www.uasem.org,193,,CTE School,"The Urban Assembly School for Emergency Management (UASEM) provides students with real-world learning opportunities. Students at UASEM have the unique opportunity to participate in career-related courses, internships, and emergency simulations with our partners Federal Emergency Management Agency (FEMA), American Red Cross, Department of Homeland Security, and more. With our partners, we develop curricula and activities in Emergency Management that create a sense of personal responsibility and empowerment among our students, parents, and staff. Students will develop leadership skills, learn how to use mapping and emergency response software as well as CPR, and learn how to recognize and respond to hazardous materials, among other abilities.","Courses in our three Emergency Management (EM) Career Pathways are: Emergency Management, Response and Recovery and Emergency Technology and Communications; Students choose a pathway in eleventh and twelfth grade; Students participate in at least one major emergency simulation; Students who successfully complete their residency will receive a special industry certification and/or college-approved credentials on their high school diploma",Spanish,,,"Peer Mediation, Peer Tutoring, Student Council, National Honor Society, Yearbook, PSAT and SAT Preparation, Step, Dance; Clubs: Drama, Art and Photography, Chess","Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Volleyball, Wrestling","Basketball, Bowling, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",,Intramural Basketball,,,,,,,,,,Internship Program Offered; Ninth grade Summer Orientation at the American Red Cross headquarters; Home visits scheduled for all ninth graders; Incoming ninth graders are assessed in reading and math in the late summer prior to the school year,8:41 AM,3:31 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Functionally Accessible,1,Priority to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents,Then to New York City residents,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,Manhattan,M625,Yes,212-399-3520,212-245-4669,info@MatherHSNYC.org,9,12,,,,,,439 WEST 49TH STREET, MANHATTAN,NY,10019,www.MatherHSNYC.org,193,,CTE School,"Are you hoping four years of high school will lead you to a good college, a challenging career, or both? Do you like projects, working with your hands and learning by doing? How do you feel about field trips and being outdoors in all kinds of weather in all of the seasons? Are you creative, inquisitive, action-oriented, responsible, a positive risk-taker, collaborative, and conscientious? At Stephen T. Mather Building Arts & Craftsmanship High School (Mather HS), you will prepare for college and beyond through hands-on learning and skills training. With the National Park Service (NPS), our school offers CTE pathways in the specialized building arts or landscape management, all through the lens of historic preservation. You will build a strong academic foundation and learn solid trade skills, opening doors to a successful future.","All ninth graders take an Introduction to Historic Preservation course with six field trips, and a survey of architecture, carpentry, masonry, decorative finishing, and landscape management. At the end of tenth grade, students choose one of the CTE pathways in either the Building Arts [Carpentry (woodworking), Masonry (stone/brick/plastering); Decorative Finishing (art/painting/ornamental work)] or Landscape Management. Both programs conclude with an internship and job shadowing with NPS or one of our other industry partners. All students experience field trips to partner sites such as Ellis Island, Governors Island and the Statue of Liberty. We have a school-wide advisory program that emphasizes our core values.",,,,"Student Government, Yearbook, Naval JROTC, National Honor Society, Peer Mediation, Tutoring/Peer Tutoring, Gay/Straight Alliance, Performing Arts Club, Art/Film Club","Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball","Basketball, Flag Football, Soccer, Softball, Volleyball",,"Soccer, intramural basketball, flag football, weightlifting & aerobic training","National Park Service (NPS), which manages 400+ national parks, historic sites and monuments nationwide.",,CUNY; American College of the Building Arts,The Engaging Educator (Improv),"Students complete 100 hours of community service by their senior year, volunteering with nonprofit organizations including Bideawee Animal Shelter, Ranger Conservation Corps, Chemo Comfort, Project Sunshine, Harlem Tutorial, NYC Foodbank, among many others.",CTE Advisory Council,,,,"Uniform Required: Mather-branded shirt, lanyard, and ID tag visible at all times; Safety equipment at school and on worksites is needed; Tutoring available; Internship Opportunities; Community Service Opportunities",8:55 AM,3:30 PM,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents,Then to New York City residents,,,,,,
02M260,M.S. 260 Clinton School Writers & Artists,Manhattan,M933,No,212-695-9114,212-695-9611,admissions@theclintonschool.net,6,10,6,12,2018,"BxM2, M104, M11, M12, M20, M23, M34A-SBS, M34-SBS, M4, M42, X17J, X30, X31","1, 2, 3, A, C, E to 34th St - Penn Station",425 WEST 33RD STREET, MANHATTAN,NY,10001,www.theclintonschool.net,270,,,"The Clinton School believes that students who are prepared for college must have an education that encourages them to take risks as they produce and perform. Our college preparatory curriculum relies on our expertise in developing writers and building a tight-knit community. As we evolve and grow, Clinton remains committed to developing students who can think analytically and write creatively in a wide range of genres. Our arts programming builds on our 25 years of experience in visual, performing arts and music on a middle school level. We are also deepening our existing partnerships with Theater for a New Audience and the Whitney, and taking advantage of our proximity to new cultural partners. We are a International Baccalaureate (IB) candidate school. The IB program is a good fit for for the creative, confident, thoughtful, and self-motivated learners that have always been successful at Clinton. Beyond the IB, we will offer opportunities to take college courses at neighboring universities.","Free college courses at neighboring universities; International Travel, Special Arts Programs, Music, Internships, College Mentoring",,,,"CUNY College Now, Technology, Model UN, Student Government, School Leadership Team, Music, School Musical, National Honor Society, The Clinton Post (School Newspaper), Clinton Soup (Literary Magazine), GLSEN, Glee",,,,"Cross Country, Track and Field, Soccer, Flag Football, Basketball",Unleashed,,,"Whitney Museum, Theater for a New Audience, City Center, Dancing Classrooms",,,,,,"The 2016 cohort will attend school in our new permanent home on E. 15th Street, allowing students from all parts of the city easy access by way of public transportation. Our building is a new construction; it contains: visual arts rooms, a music room with separate practice rooms, two science labs, a library and lounge designed to serve as a social media center and gathering space, a cafeteria with treeline views, 8,500 square foot gym, college guidance suite and classroom design that allows for maximum natural light.",,,This school will provide students with disabilities the supports and services indicated on their IEPs.,ESL,Not Functionally Accessible,1,Priority to continuing 8th graders,Then to Manhattan students or residents,Then to New York City residents,,,,,,,
