person_a,person_b,interaction_type,page_no,edition,Who Did This Work?,Notes
fr. conmee,one legged sailor,5,Wandering Rocks (first pass),Project Gutenberg e-text,"Chad Rutkowski made a list of character interactions, Amanda Visconti turned these into spreadsheet format and did interaction coding",
mrs. sheehy,fr. conmee,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
fr. conmee,jack sohan,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
fr. conmee,ger. gallaher,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
fr. conmee,bruny lynam,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
mr denis j maginni,lady maxwell,2,,,,
mr. mcguiness,fr. conmee,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
satchelled schoolboys,fr. conmee,4,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
william gallagher,fr. conmee,4,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
two unlabouring men,fr. conmee,4,,,,
constable,fr. conmee,4,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
conductor,fr. conmee,4,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
young  lovers,fr. conmee,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
constable,corny kelleher,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
one legged sailor,larry o'rourke,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
one legged sailor,katey dedalus,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
one legged sailor,boody dedalus,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
stout woman,one legged sailor,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
woman in window,one legged sailor,4,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
urchin,one legged sailor,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
boody dedalus,maggy,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
katey dedalus,maggy,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
blazes boylan,blond girl in thortnons,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
almidoni artifoni,stephen dedalus,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
lenehan,miss dunne,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
boylan,miss dunne,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
ned lambert,rev. hugh c. love,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
jj. o'molloy,ned lambert,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
tom rochford,nosey flynn,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
tom rochford,lenehan,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
tom rochford,m'coy,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
shopman,bloom,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
dilly dedalus,simon dedalus,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
simon dedalus,lacquey,2,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
barney kernan,crimmins,1,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
father cowley,simon dedalus,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
simon dedalus,kernan,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
huckster,stephen dedalus,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
dilly dedalus,stephen dedalus,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
father cowley,simon dedalus,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
simon dedalus,ben dollard,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
father cowley,ben dollard,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
martin cunningham,policeman,5,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
martin cunningham,power,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
john wyse nolan,cunningham,6,Wandering Rocks (first pass),Project Gutenberg e-text,"(CR, AV)",
corny kelleher,dignam boy,"4,3",Hades (page 101),"Vintage, 1990",Rhonda Armstrong (RJA),
girl at funeral,woman at funeral,"4,3",Hades (101),"Vintage, 1990",(RJA),
martin cunningham,power,"6,3",Hades (101),"Vintage, 1990",(RJA),
bloom,kernan,"6,3",Hades (101-02),"Vintage, 1990",(RJA),
bloom,dignam's widow,1,Hades (102),"Vintage, 1990",(RJA),
ned lambert,simon dedalus,"6,3",Hades (102),"Vintage, 1990",(RJA),
ned lambert,dick tivey,"1,3",Hades (102),"Vintage, 1990",(RJA),Lambert and Dedalus briefly discuss Tivey
